# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
哀郢	āi yǐng	写	词典	《楚辞·九章》篇名。战国楚人屈原作。郢为楚国首都	新华	太史公曰：“余读《离骚》《天问》《招魂》《{哀郢}》，悲其志。	屈原列传	3
嗟夫	jiē fū	写	词典	犹嗟乎	新华			3
嘈嘈	cáo cáo	写	词典	形容声音沉重舒长	课本	大弦{嘈嘈}如急雨，小弦切切如私语。	琵琶行并序	3
奉诏	fèng zhào	写	词典	接受皇帝的命令；犹称旨	新华	臣欲{奉诏}奔驰，则刘病日笃；欲苟顺私情，则告诉不许：臣之进退，实为狼狈。	陈情表	3
如晤	rú wù	写	词典	如同见面，旧时书信用语	课本	意映卿卿{如晤}，吾今以此书与汝永别矣！	与妻书	3
姚鼐	yáo nài	写	词典					3
嬉戏	xī xì	写	词典	游戏;玩乐	新华	初七及下九，{嬉戏}莫相忘。”	孔雀东南飞并序	3
子衿	zi jīn	写	词典	《诗·郑风》篇名。《诗序》以为刺学校废，谓乱世则学校不修焉	新华	青青{子衿}，悠悠我心。	短歌行	3
孙膑	sūn bìn	写	词典	战国中期军事家。齐国阿(今山东阳谷东北)人。孙武后裔	新华	吴起、{孙膑}、带佗	过秦论	3
孟陬	mèng zōu	写	词典	孟春正月，是寅月，正月为陬	课本	摄提贞于{孟陬}兮，惟庚寅吾以降。	离骚（节选）	3
尽心尽力	jìn xīn jìn lì	读	成语	指费尽心力	成语	且受遇先帝，绸缪缱绻，并志竭忠贞，{尽心尽力}，归诚陛下，以报先帝。	《晋书·王坦之传》	3
崤函	xiáo hán	都考	课本	崤山和函谷关	课本	秦孝公据{崤函}之固	过秦论	3
崤山	xiáo shān	写	词典	在函谷关的东边	课本			3
幽壑	yōu hè	写	词典	深谷	课本	舞{幽壑}之潜蛟，泣孤舟之嫠妇。	赤壁赋	3
庖厨	páo chú	写	词典	厨房	课本	是以君子远{庖厨}也。”	齐桓晋文之事	3
廿四桥	niàn sì qiáo	写	词典	在江苏扬州市境	新华	譬如{廿四桥}的明月	故都的秋	3
异爨	yì cuàn	写	词典	分灶做饭，意思是分家	课本	迨诸父{异爨}，内外多置小门墙，往往而是。	项脊轩志	3
弓弩	gōng nǔ	写	词典	弓和弩。亦指射术；使用弓弩，谓习射	新华	武能网纺缴，檠{弓弩}，於靬王爱之，给其衣食。	苏武传	3
彭殇	péng shāng	写	词典	彭彭祖，古代传说中的长寿之人。殇夭折。指寿命短长固知一死生为虚诞，齐彭殇为妄作	新华	固知一死生为虚诞，齐{彭殇}为妄作。	兰亭集序	3
心扉	xīn fēi	写	词典	指人的内心	新华	敞开{心扉}，追寻理想	第一单元	3
忏悔	chàn huǐ	写	词典	佛教仪式。原为对人坦白自己的过错、求容忍宽恕之意	新华	——女神，在你的祈祷之中，不要忘记替我{忏悔}我的罪孽。	哈姆莱特（节选）	3
忸怩	niǔ ní	写	词典			我是这般{忸怩}不安！	大堰河——我的保姆	3
恍惚	huǎng hū	写	词典			坐起来，心神{恍惚}	我与地坛（节选）	3
惆怅	chóu chàng	写	词典			既自以心为形役，奚{惆怅}而独悲？	归去来兮辞并序	3
惴惴	zhuì zhuì	写	词典	忧惧戒慎貌	新华	将献公堂，{惴惴}恐不当意，思试之斗以觇之。	促织	3
感人肺腑	gǎn rén fèi fǔ	写	成语	使人内心深深感动	成语	轻重缓急，悠扬悦耳，动人心弦，{感人肺腑}。	《喇吧声声》	3
愤懑	fèn mèn	写	词典			哀痛乃至{愤懑}，激发我们对良知的坚守	哈姆莱特（节选）	3
拒谏	jù jiàn	写	词典	拒绝规劝	新华	难壬人，不为{拒谏}。	答司马谏议书	3
拔擢	bá zhuó	写	词典	提拔、擢升	课本	今臣亡国贱俘，至微至陋，过蒙{拔擢}，宠命优渥，岂敢盘桓，有所希冀。	陈情表	3
放浪形骸	fàng làng xíng hái	写	成语	放纵、不受拘束	课本	或取诸怀抱，悟言一室之内；或因寄所托，{放浪形骸}之外。	兰亭集序	3
新发于硎	xīn fā yú xíng	都考	课本	刚从磨刀石上磨出来	课本	是以十九年而刀刃若{新发于硎}。	庖丁解牛	3
旌旗	jīng qí	写	词典			舳舻千里，{旌旗}蔽空	赤壁赋	3
无的放矢	wú dì fàng shǐ	读	成语	的靶心；矢箭。没有目标乱射箭。比喻说话做事没有明确目的，或不切合实际	成语	不是有的放矢，而是{无的放矢}。	改造我们的学习	3
时髦	shí máo	写	词典			杰作常常不像{时髦}读物那么适口，那么富于刺激性。	上图书馆	3
昆邪王	hún yé wáng	读	课本	匈奴的一个亲王，其部落在今甘肃西北部	课本	缑王者，{昆邪王}姊子也，与昆邪王俱降汉，后随浞野侯没胡中。	苏武传	3
服膺	fú yīng	写	词典			凡是经过研究见到无可非议的道理我就拳拳{服膺}。	人应当坚持正义	3
朔风	shuò fēng	写	词典	指北方的音乐；北风，寒风	新华	仍旧迎着{朔风}回来。	林教头风雪山神庙	3
林黛玉	lín dài yù	写	词典	小说《红楼梦》中人物。贾宝玉的表妹。出身衰微的官僚家庭	新华	如贾宝玉在姐妹们都在场时向{林黛玉}使一个眼色	《红楼梦》	3
棘矜	jí jīn	写	词典	戟柄。棘，通戟	新华	中山之君也；锄櫌{棘矜}	过秦论	3
棫阳宫	yù yáng gōng	写	词典	秦昭王时所建的宫殿。始皇九年，夷嫪毐三族，迁太后于此宫。故址在今陕西扶风县东北	新华	前长君为奉车，从至雍{棫阳宫}，扶辇下除，触柱折辕，劾大不敬，伏剑自刎，赐钱二百万以葬。	苏武传	3
樗蒱	chū pú	都考	课本	古代的一种博戏，这里指樗蒱所用的掷具，长形而末端尖锐，立起来像山峰	课本	稍见云中白若{樗蒱}数十立者，山也。	登泰山记	3
水浒传	shuǐ hǔ zhuàn	都考	词典	长篇小说。明代施耐庵作。一说施耐庵作、罗贯中编次	新华	如《{水浒传}》里林冲的故事	变形记（节选）	3
水虞	shuǐ yú	写	词典	古代官名。掌管川泽的政令	新华	方欲发使送武等，会缑王与长{水虞}常等谋反匈奴中。	苏武传	3
水门汀	shuǐ mén tīng	写	词典	英语cement的译音。水泥，亦指混凝土；借指水门汀的路或地	新华	{水门汀}路上和弄堂里面	包身工	3
汶水	wèn shuǐ	都考	课本	发源于山东莱芜东北原山，向西南流经泰安	课本	泰山之阳，{汶水}西流；其阴，济水东流。	登泰山记	3
泅水	qiú shuǐ	写	词典	游水	新华	尽善于{泅水}的军民人等	边城（节选）	3
洴澼絖	píng pì kuàng	都考	课本	漂洗丝絮	课本	宋人有善为不龟手之药者，世世以{洴澼絖}为事。	五石之瓠	3
流憩	liú qì	写	词典	指无目的地漫步和随时随地休息	课本	策扶老以{流憩}，时矫首而遐观。	归去来兮辞并序	3
涅槃	niè pán	写	词典			{涅槃}的自由，却还有生之留恋，我于是就逃走。	为了忘却的记念	3
湛湛	zhàn zhàn	写	词典	①露水浓重的样子露湛湛兮晨出，月高高兮夜归	新华	也不见得{湛湛}青天。	窦娥冤（节选）	3
炽热	chì rè	写	词典	①温度极高；极热炽热的暑假｜炽热难熬。②热烈炽热的心｜情绪炽热	新华	{炽热}的激情就会流出我的双唇	致云雀	3
熹微	xī wēi	写	词典	光线微弱	课本	问征夫以前路，恨晨光之{熹微}。	归去来兮辞并序	3
牲醴	shēng lǐ	写	词典	指祭祀用的牺牲和甜酒；指宴飨用的牲和醴	新华	只觉得天地圣众歆享了{牲醴}和香烟	祝福	3
