# 词语表 · 课本用到的那部分（词 + 拼音）
#
# 原表取自汉语拼音辞典 https://github.com/mapull/chinese-dictionary
# （经 https://github.com/zispace/hanzi-words 整理），三十多万条，太大不入库。
# 这里只留在五本课本里真出现过的，别的用不上。
#
# 原表有错（「一不做，二不休」注成 yī bū zuò），所以只作词的边界用，
# 注音一律和 pypinyin 交叉验证，两边一致才收；课本自己注过音的以课本为准。
丘山	qiū shān
丙丁	bǐng dīng
业余	yè yú
业务	yè wù
业大	yè dà
业已	yè yǐ
业文	yè wén
业根	yè gēn
业界	yè jiè
业相	yè xiāng
业种	yè zhǒng
业者	yè zhě
丛丛	cóng cóng
丛书	cóng shū
丛刊	cóng kān
丛杂	cóng zá
丛棘	cóng jí
丛生	cóng shēng
东下	dōng xià
东京	dōng jīng
东人	dōng rén
东作	dōng zuò
东关	dōng guān
东北	dōng běi
东南	dōng nán
东后	dōng hòu
东君	dōng jūn
东吴	dōng wú
东周	dōng zhōu
东坡	dōng pō
东头	dōng tóu
东奔西窜	dōng bēn xī cuàn
东宫	dōng gōng
东家	dōng jiā
东封	dōng fēng
东山	dōng shān
东岳	dōng yuè
东岳大帝	dōng yuè dà dì
东府	dōng fǔ
东张西望	dōng zhāng xī wàng
东房	dōng fáng
东方	dōng fāng
东晋	dōng jìn
东曦	dōng xī
东曦既驾	dōng xī jì jià
东欧	dōng ōu
东汉	dōng hàn
东洋	dōng yáng
东流	dōng liú
东流水	dōng liú shuǐ
东海	dōng hǎi
东王	dōng wáng
东皋	dōng gāo
东盟	dōng méng
东莱	dōng lái
东西	dōng xī
东西南北	dōng xī nán běi
东谷	dōng gǔ
东边	dōng biān
东选	dōng xuǎn
东道	dōng dào
东道主	dōng dào zhǔ
东门	dōng mén
东阿	dōng ē
东面	dōng miàn
东风	dōng fēng
东鲁	dōng lǔ
东麓	dōng lù
丝丝	sī sī
丝子	sī zi
丝履	sī lǚ
丝毫	sī háo
丝竹	sī zhú
丝竹管弦	sī zhú guǎn xián
丝絮	sī xù
丝线	sī xiàn
丝织品	sī zhī pǐn
丝绳	sī shéng
丝绵	sī mián
丝绸	sī chóu
丝网	sī wǎng
丝车	sī chē
丞相	chéng xiàng
丢失	diū shī
丢弃	diū qì
丢掉	diū diào
丢翻	diū fān
丢脸	diū liǎn
两三	liǎng sān
两两	liǎng liǎng
两伤	liǎng shāng
两侧	liǎng cè
两半	liǎng bàn
两厢	liǎng xiāng
两口	liǎng kǒu
两口儿	liǎng kǒu ér
两可	liǎng kě
两台	liǎng tái
两周	liǎng zhōu
两回事	liǎng huí shì
两地	liǎng dì
两大	liǎng dà
两头	liǎng tóu
两岸	liǎng àn
两广	liǎng guǎng
两忘	liǎng wàng
两性	liǎng xìng
两情	liǎng qíng
两手	liǎng shǒu
两旁	liǎng páng
两朝	liǎng cháo
两样	liǎng yàng
两次三番	liǎng cì sān fān
两汉	liǎng hàn
两浙	liǎng zhè
两淮	liǎng huái
两用	liǎng yòng
两省	liǎng shěng
两端	liǎng duān
两边	liǎng biān
两部	liǎng bù
两间	liǎng jiān
